key,zh-CN,en-US,zh-CN-tip,en-US-tip
inspector.common.reset.label,R,R,重置当前属性及子级属性（如有）,Reset this property and its child properties when applicable
inspector.header.parameters.label,后处理参数,Post-Processing Parameters,,
inspector.property.manager.label,管理器,Manager,,
inspector.foldout.chromaticAberrationToggle.label,色散,Chromatic Aberration,,
inspector.foldout.distortSpeedToggle.label,扭曲,Distortion,,
inspector.foldout.radialBlurToggle.label,径向模糊,Radial Blur,,
inspector.foldout.overlayTextureToggle.label,肌理叠加图,Texture Overlay,,
inspector.foldout.flashToggle.label,反闪,Flash,,
inspector.foldout.flashTextureToggle.label,反闪纹理,Flash Texture,,
inspector.foldout.flashTexture.label,纹理,Texture,,
inspector.foldout.flashTextureMask.label,遮罩,Mask,,
inspector.foldout.vignetteToggle.label,暗角,Vignette,,
inspector.foldout.cameraShakeToggle.label,震屏,Camera Shake,,
inspector.property.customScreenCenterTransform.label,屏幕中心跟随Transform,Screen Center Follow Transform,绑定后使用主相机计算 Transform 在 GameView 中的屏幕位置。,When assigned the Main Camera is used to calculate the Transform position in the Game View
inspector.property.customScreenCenterPos.label,自定义屏幕中心,Custom Screen Center,以 GameView 为准的 Viewport 坐标：左下角为 (0 0)，右上角为 (1 1)；绑定 Transform 时只读。,Viewport coordinates based on the Game View: bottom-left is (0 0) and top-right is (1 1). Read-only while a Transform is assigned
inspector.property.caFromDistort.label,材质扰动色散强度,Material Disturbance Chromatic Aberration Intensity,,
inspector.property.chromaticAberrationIntensity.label,后处理色散强度,Post-Process Chromatic Aberration Intensity,,
inspector.property.chromaticAberrationPos.label,后处理色散过渡位置,Post-Process Chromatic Aberration Transition Position,,
inspector.property.chromaticAberrationRange.label,后处理色散过渡范围,Post-Process Chromatic Aberration Transition Range,,
inspector.property.distortScreenUVMode.label,后处理走常规屏幕坐标,Use Regular Screen UV for Post-Process,,
inspector.property.distortSpeedTexture.label,后处理扭曲贴图,Post-Process Distortion Texture,,
inspector.property.distortTextureMidValue.label,扭曲贴图中间值,Distortion Texture Mid Value,,
inspector.property.distortSpeedTexSt.label,扭曲贴图缩放平移,Distortion Texture Scale and Offset,,
inspector.property.distortSpeedIntensity.label,扭曲强度,Distortion Intensity,,
inspector.property.distortSpeedPosition.label,扭曲过渡位置,Distortion Transition Position,,
inspector.property.distortSpeedRange.label,扭曲过渡范围,Distortion Transition Range,,
inspector.property.distortSpeedMoveSpeedX.label,扭曲纹理流动X,Distortion Texture Scroll X,,
inspector.property.distortSpeedMoveSpeed.label,扭曲纹理流动Y,Distortion Texture Scroll Y,,
inspector.property.radialBlurSampleCount.label,采样次数,Sample Count,,
inspector.property.radialBlurFromDistort.label,材质扰动径向模糊强度,Material Disturbance Radial Blur Intensity,,
inspector.property.radialBlurIntensity.label,后处理径向模糊强度,Post-Process Radial Blur Intensity,,
inspector.property.radialBlurPos.label,后处理径向模糊过渡位置,Post-Process Radial Blur Transition Position,,
inspector.property.radialBlurRange.label,后处理径向模糊过渡范围,Post-Process Radial Blur Transition Range,,
inspector.property.overlayTextureBlendMode.label,肌理图混合模式,Texture Blend Mode,,
inspector.property.overlayTextureBlendMode.option.0,相乘,Multiply,,
inspector.property.overlayTextureBlendMode.option.1,相加,Add,,
inspector.property.overlayTexturePolarCoordMode.label,肌理图极坐标模式,Use Polar Coordinates,,
inspector.property.overlayTexture.label,肌理图,Texture,,
inspector.property.overlayTextureSt.label,肌理图缩放平移,Texture Scale and Offset,,
inspector.property.overlayTextureAnim.label,肌理图偏移动画,Texture Offset Animation,,
inspector.property.overlayTextureIntensity.label,肌理图强度,Texture Intensity,,
inspector.property.overlayMaskTexture.label,肌理蒙版图,Texture Mask,,
inspector.property.overlayMaskTextureSt.label,肌理图蒙版缩放平移,Texture Mask Scale and Offset,,
inspector.property.flashIntensity.label,反转效果强度,Invert Effect Intensity,,
inspector.property.flashGradientRange.label,过渡起始亮度,Transition Start Luminance,,
inspector.property.flashContrast.label,过渡范围,Transition Range,,
inspector.property.flashColor.label,亮部闪颜色,Highlight Flash Color,,
inspector.property.blackFlashColor.label,暗部闪颜色,Shadow Flash Color,,
inspector.property.flashInvertIntensity.label,反转度,Invert Amount,,
inspector.property.flashTexture.label,反闪纹理图,Flash Texture,,
inspector.property.flashTexturePolarCoordMode.label,极坐标模式,Polar Coordinate Mode,,
inspector.property.flashTextureScaleOffset.label,缩放平移,Scale and Offset,,
inspector.property.flashVec.label,偏移速度,Scroll Speed,,
inspector.property.flashDeSaturateIntensity.label,纹理图Pow,Texture Pow,,
inspector.property.flashTextureIntensity.label,纹理图混合程度,Texture Blend Amount,,
inspector.property.flashTextureMaskIntensity.label,遮罩强度,Mask Intensity,,
inspector.property.flashVecZW.0.label,遮罩过渡位置,Mask Transition Position,,
inspector.property.flashVecZW.1.label,遮罩过渡范围,Mask Transition Range,,
inspector.property.vignetteColor.label,暗角颜色,Vignette Color,,
inspector.property.vignetteIntensity.label,暗角强度,Vignette Intensity,,
inspector.property.vignetteRoundness.label,暗角圆度,Vignette Roundness,,
inspector.property.vignetteSmothness.label,暗角平滑度,Vignette Smoothness,,
inspector.property.vignetteFill.label,暗角填充度,Vignette Fill,,
inspector.property.cinemachineCamera.label,绑定Cinemachine相机,Bind Cinemachine Camera,,
inspector.property.cameraShakeIntensity.label,相机震动强度,Camera Shake Intensity,,
inspector.button.selectManager.label,选择当前Manager,Select Current Manager,,
inspector.button.selectCinemachineCamera.label,选择当前CinemachineCamera,Select Current Cinemachine Camera,,
inspector.manager.controllerFlags.label,Controller索引标记,Controller Index Flags,,
inspector.manager.chromaticAberration.label,色散开关,Chromatic Aberration Toggles,,
inspector.manager.distortion.label,径向扭曲开关,Radial Distortion Toggles,,
inspector.manager.radialBlur.label,径向模糊开关,Radial Blur Toggles,,
inspector.manager.cameraShake.label,震屏开关,Camera Shake Toggles,,
inspector.manager.textureOverlay.label,肌理开关,Texture Overlay Toggles,,
inspector.manager.flash.label,反闪开关,Flash Toggles,,
inspector.manager.vignette.label,暗角开关,Vignette Toggles,,
inspector.manager.shaderFlags.label,ShaderFlags,Shader Flags,,
inspector.manager.reflectionError.label,PostProcessingManagerGUI获取变量错误,PostProcessingManagerGUI failed to read the field,,
