key,zh-CN,en-US
inspector.block.mode.label,模式设置,Mode
inspector.block.mode.tip,各种基础模式设置,Mode and source setup
inspector.block.base.label,基本全局功能,Base
inspector.block.base.tip,全局控制功能,Base global controls
inspector.block.maintex.label,主贴图功能,Main Texture
inspector.block.maintex.tip,主贴图以及主颜色相关功能,Main texture and base color controls
inspector.block.light.label,光照功能,Lighting
inspector.block.light.tip,法线、MatCap 和光照模式相关功能,Lighting normal and material response controls
inspector.block.feature.label,特别功能,Feature
inspector.block.feature.tip,遮罩、扭曲、溶解等特效功能,Effect feature controls
inspector.block.ta.label,TA调试,TA Debug
inspector.block.ta.tip,技术美术调试和辅助功能,Technical art debug and helper controls
